八度音階,,,
八度音符,矩陣位置,行,列
Do,V1:H1,2,152
Re,V1:H2,2,153
Mi,V1:H3,2,154
Fa,V1:H4,2,155
Sol,V1:H5,2,156
La,V1:H6,2,157
Si,V1:H7,2,158
Do',V1:H8,2,159
Do,V1:H9,2,160
Re,V1:H10,2,161
Mi,V1:H11,2,162
Fa,V1:H12,2,163
Sol,V1:H13,2,164
La,V1:H14,2,165
Si,V1:H15,2,166
Do',V1:H16,2,167
Do,V1:H17,2,168
Re,V1:H18,2,169
Mi,V1:H19,2,170
Fa,V1:H20,2,171
Sol,V1:H21,2,172
Do',V2:H1,3,152
Sol,V2:H2,3,153
La,V2:H3,3,154
Si,V2:H4,3,155
Do',V2:H5,3,156
Do,V2:H6,3,157
Re,V2:H7,3,158
Mi,V2:H8,3,159
Fa,V2:H9,3,160
Sol,V2:H10,3,161
La,V2:H11,3,162
Si,V2:H12,3,163
Do',V2:H13,3,164
Do,V2:H14,3,165
Re,V2:H15,3,166
Mi,V2:H16,3,167
Fa,V2:H17,3,168
Sol,V2:H18,3,169
La,V2:H19,3,170
Si,V2:H20,3,171
La,V2:H21,3,172
Si,V3:H1,4,152
Fa,V3:H2,4,153
Do,V3:H3,4,154
Re,V3:H4,4,155
Mi,V3:H5,4,156
Fa,V3:H6,4,157
Sol,V3:H7,4,158
La,V3:H8,4,159
Si,V3:H9,4,160
Do',V3:H10,4,161
Do,V3:H11,4,162
Re,V3:H12,4,163
Mi,V3:H13,4,164
Fa,V3:H14,4,165
Sol,V3:H15,4,166
La,V3:H16,4,167
Si,V3:H17,4,168
Do',V3:H18,4,169
Do,V3:H19,4,170
Do',V3:H20,4,171
Si,V3:H21,4,172
La,V4:H1,5,152
Mi,V4:H2,5,153
Do',V4:H3,5,154
Sol,V4:H4,5,155
La,V4:H5,5,156
Si,V4:H6,5,157
Do',V4:H7,5,158
Do,V4:H8,5,159
Re,V4:H9,5,160
Mi,V4:H10,5,161
Fa,V4:H11,5,162
Sol,V4:H12,5,163
La,V4:H13,5,164
Si,V4:H14,5,165
Do',V4:H15,5,166
Do,V4:H16,5,167
Re,V4:H17,5,168
Mi,V4:H18,5,169
Re,V4:H19,5,170
Do,V4:H20,5,171
Do',V4:H21,5,172
Sol,V5:H1,6,152
Re,V5:H2,6,153
Si,V5:H3,6,154
Fa,V5:H4,6,155
Do,V5:H5,6,156
Re,V5:H6,6,157
Mi,V5:H7,6,158
Fa,V5:H8,6,159
Sol,V5:H9,6,160
La,V5:H10,6,161
Si,V5:H11,6,162
Do',V5:H12,6,163
Do,V5:H13,6,164
Re,V5:H14,6,165
Mi,V5:H15,6,166
Fa,V5:H16,6,167
Sol,V5:H17,6,168
Fa,V5:H18,6,169
Mi,V5:H19,6,170
Re,V5:H20,6,171
Do,V5:H21,6,172
Fa,V6:H1,7,152
Do,V6:H2,7,153
La,V6:H3,7,154
Mi,V6:H4,7,155
Do',V6:H5,7,156
Sol,V6:H6,7,157
La,V6:H7,7,158
Si,V6:H8,7,159
Do',V6:H9,7,160
Do,V6:H10,7,161
Re,V6:H11,7,162
Mi,V6:H12,7,163
Fa,V6:H13,7,164
Sol,V6:H14,7,165
La,V6:H15,7,166
Si,V6:H16,7,167
La,V6:H17,7,168
Sol,V6:H18,7,169
Fa,V6:H19,7,170
Mi,V6:H20,7,171
Re,V6:H21,7,172
Mi,V7:H1,8,152
Do',V7:H2,8,153
Sol,V7:H3,8,154
Re,V7:H4,8,155
Si,V7:H5,8,156
Fa,V7:H6,8,157
Do,V7:H7,8,158
Re,V7:H8,8,159
Mi,V7:H9,8,160
Fa,V7:H10,8,161
Sol,V7:H11,8,162
La,V7:H12,8,163
Si,V7:H13,8,164
Do',V7:H14,8,165
Do,V7:H15,8,166
Do',V7:H16,8,167
Si,V7:H17,8,168
La,V7:H18,8,169
Sol,V7:H19,8,170
Fa,V7:H20,8,171
Mi,V7:H21,8,172
Re,V8:H1,9,152
Si,V8:H2,9,153
Fa,V8:H3,9,154
Do,V8:H4,9,155
La,V8:H5,9,156
Mi,V8:H6,9,157
Do',V8:H7,9,158
Sol,V8:H8,9,159
La,V8:H9,9,160
Si,V8:H10,9,161
Do',V8:H11,9,162
Do,V8:H12,9,163
Re,V8:H13,9,164
Mi,V8:H14,9,165
Re,V8:H15,9,166
Do,V8:H16,9,167
Do',V8:H17,9,168
Si,V8:H18,9,169
La,V8:H19,9,170
Sol,V8:H20,9,171
Fa,V8:H21,9,172
Do,V9:H1,10,152
La,V9:H2,10,153
Mi,V9:H3,10,154
Do',V9:H4,10,155
Sol,V9:H5,10,156
Re,V9:H6,10,157
Si,V9:H7,10,158
Fa,V9:H8,10,159
Do,V9:H9,10,160
Re,V9:H10,10,161
Mi,V9:H11,10,162
Fa,V9:H12,10,163
Sol,V9:H13,10,164
Fa,V9:H14,10,165
Mi,V9:H15,10,166
Re,V9:H16,10,167
Do,V9:H17,10,168
Do',V9:H18,10,169
Si,V9:H19,10,170
La,V9:H20,10,171
Sol,V9:H21,10,172
Do',V10:H1,11,152
Sol,V10:H2,11,153
Re,V10:H3,11,154
Si,V10:H4,11,155
Fa,V10:H5,11,156
Do,V10:H6,11,157
La,V10:H7,11,158
Mi,V10:H8,11,159
Do',V10:H9,11,160
Sol,V10:H10,11,161
La,V10:H11,11,162
Si,V10:H12,11,163
La,V10:H13,11,164
Sol,V10:H14,11,165
Fa,V10:H15,11,166
Mi,V10:H16,11,167
Re,V10:H17,11,168
Do,V10:H18,11,169
Do',V10:H19,11,170
Si,V10:H20,11,171
La,V10:H21,11,172
Si,V11:H1,12,152
Fa,V11:H2,12,153
Do,V11:H3,12,154
La,V11:H4,12,155
Mi,V11:H5,12,156
Do',V11:H6,12,157
Sol,V11:H7,12,158
Re,V11:H8,12,159
Si,V11:H9,12,160
Fa,V11:H10,12,161
Do,V11:H11,12,162
Do',V11:H12,12,163
Si,V11:H13,12,164
La,V11:H14,12,165
Sol,V11:H15,12,166
Fa,V11:H16,12,167
Mi,V11:H17,12,168
Re,V11:H18,12,169
Do,V11:H19,12,170
Do',V11:H20,12,171
Si,V11:H21,12,172
La,V12:H1,13,152
Mi,V12:H2,13,153
Do',V12:H3,13,154
Sol,V12:H4,13,155
Re,V12:H5,13,156
Si,V12:H6,13,157
Fa,V12:H7,13,158
Do,V12:H8,13,159
La,V12:H9,13,160
Mi,V12:H10,13,161
Re,V12:H11,13,162
Do,V12:H12,13,163
Do',V12:H13,13,164
Si,V12:H14,13,165
La,V12:H15,13,166
Sol,V12:H16,13,167
Fa,V12:H17,13,168
Mi,V12:H18,13,169
Re,V12:H19,13,170
Do,V12:H20,13,171
Do',V12:H21,13,172
Sol,V13:H1,14,152
Re,V13:H2,14,153
Si,V13:H3,14,154
Fa,V13:H4,14,155
Do,V13:H5,14,156
La,V13:H6,14,157
Mi,V13:H7,14,158
Do',V13:H8,14,159
Sol,V13:H9,14,160
Fa,V13:H10,14,161
Mi,V13:H11,14,162
Re,V13:H12,14,163
Do,V13:H13,14,164
Do',V13:H14,14,165
Si,V13:H15,14,166
La,V13:H16,14,167
Sol,V13:H17,14,168
Fa,V13:H18,14,169
Mi,V13:H19,14,170
Re,V13:H20,14,171
Do,V13:H21,14,172
Fa,V14:H1,15,152
Do,V14:H2,15,153
La,V14:H3,15,154
Mi,V14:H4,15,155
Do',V14:H5,15,156
Sol,V14:H6,15,157
Re,V14:H7,15,158
Si,V14:H8,15,159
La,V14:H9,15,160
Sol,V14:H10,15,161
Fa,V14:H11,15,162
Mi,V14:H12,15,163
Re,V14:H13,15,164
Do,V14:H14,15,165
Do',V14:H15,15,166
Si,V14:H16,15,167
La,V14:H17,15,168
Sol,V14:H18,15,169
Fa,V14:H19,15,170
Mi,V14:H20,15,171
Re,V14:H21,15,172
Mi,V15:H1,16,152
Do',V15:H2,16,153
Sol,V15:H3,16,154
Re,V15:H4,16,155
Si,V15:H5,16,156
Fa,V15:H6,16,157
Do,V15:H7,16,158
Do',V15:H8,16,159
Si,V15:H9,16,160
La,V15:H10,16,161
Sol,V15:H11,16,162
Fa,V15:H12,16,163
Mi,V15:H13,16,164
Re,V15:H14,16,165
Do,V15:H15,16,166
Do',V15:H16,16,167
Si,V15:H17,16,168
La,V15:H18,16,169
Sol,V15:H19,16,170
Fa,V15:H20,16,171
Mi,V15:H21,16,172
Re,V16:H1,17,152
Si,V16:H2,17,153
Fa,V16:H3,17,154
Do,V16:H4,17,155
La,V16:H5,17,156
Mi,V16:H6,17,157
Re,V16:H7,17,158
Do,V16:H8,17,159
Do',V16:H9,17,160
Si,V16:H10,17,161
La,V16:H11,17,162
Sol,V16:H12,17,163
Fa,V16:H13,17,164
Mi,V16:H14,17,165
Re,V16:H15,17,166
Do,V16:H16,17,167
Do',V16:H17,17,168
Si,V16:H18,17,169
La,V16:H19,17,170
Sol,V16:H20,17,171
Fa,V16:H21,17,172
Do,V17:H1,18,152
La,V17:H2,18,153
Mi,V17:H3,18,154
Do',V17:H4,18,155
Sol,V17:H5,18,156
Fa,V17:H6,18,157
Mi,V17:H7,18,158
Re,V17:H8,18,159
Do,V17:H9,18,160
Do',V17:H10,18,161
Si,V17:H11,18,162
La,V17:H12,18,163
Sol,V17:H13,18,164
Fa,V17:H14,18,165
Mi,V17:H15,18,166
Re,V17:H16,18,167
Do,V17:H17,18,168
Do',V17:H18,18,169
Si,V17:H19,18,170
La,V17:H20,18,171
Sol,V17:H21,18,172
Do',V18:H1,19,152
Sol,V18:H2,19,153
Re,V18:H3,19,154
Si,V18:H4,19,155
La,V18:H5,19,156
Sol,V18:H6,19,157
Fa,V18:H7,19,158
Mi,V18:H8,19,159
Re,V18:H9,19,160
Do,V18:H10,19,161
Do',V18:H11,19,162
Si,V18:H12,19,163
La,V18:H13,19,164
Sol,V18:H14,19,165
Fa,V18:H15,19,166
Mi,V18:H16,19,167
Re,V18:H17,19,168
Do,V18:H18,19,169
Do',V18:H19,19,170
Si,V18:H20,19,171
La,V18:H21,19,172
Si,V19:H1,20,152
Fa,V19:H2,20,153
Do,V19:H3,20,154
Do',V19:H4,20,155
Si,V19:H5,20,156
La,V19:H6,20,157
Sol,V19:H7,20,158
Fa,V19:H8,20,159
Mi,V19:H9,20,160
Re,V19:H10,20,161
Do,V19:H11,20,162
Do',V19:H12,20,163
Si,V19:H13,20,164
La,V19:H14,20,165
Sol,V19:H15,20,166
Fa,V19:H16,20,167
Mi,V19:H17,20,168
Re,V19:H18,20,169
Do,V19:H19,20,170
Do',V19:H20,20,171
Si,V19:H21,20,172
La,V20:H1,21,152
Mi,V20:H2,21,153
Re,V20:H3,21,154
Do,V20:H4,21,155
Do',V20:H5,21,156
Si,V20:H6,21,157
La,V20:H7,21,158
Sol,V20:H8,21,159
Fa,V20:H9,21,160
Mi,V20:H10,21,161
Re,V20:H11,21,162
Do,V20:H12,21,163
Do',V20:H13,21,164
Si,V20:H14,21,165
La,V20:H15,21,166
Sol,V20:H16,21,167
Fa,V20:H17,21,168
Mi,V20:H18,21,169
Re,V20:H19,21,170
Do,V20:H20,21,171
Do',V20:H21,21,172
Sol,V21:H1,22,152
Fa,V21:H2,22,153
Mi,V21:H3,22,154
Re,V21:H4,22,155
Do,V21:H5,22,156
Do',V21:H6,22,157
Si,V21:H7,22,158
La,V21:H8,22,159
Sol,V21:H9,22,160
Fa,V21:H10,22,161
Mi,V21:H11,22,162
Re,V21:H12,22,163
Do,V21:H13,22,164
Do',V21:H14,22,165
Si,V21:H15,22,166
La,V21:H16,22,167
Sol,V21:H17,22,168
Fa,V21:H18,22,169
Mi,V21:H19,22,170
Re,V21:H20,22,171
Do,V21:H21,22,172
