卓爾金曆矩陣,,,,,,,,,
矩陣位置,KIN,行,列,綠色金字塔,紅色金字塔,白色金字塔,藍色金字塔,黃色金字塔,五大神諭心電感應頻率
V01:H01,1,2,124,紅龍,紅龍,白鏡,藍猴,黃太陽,1344
V01:H02,2,2,125,白風,紅地球,白巫師,藍風暴,黃人,1542
V01:H03,3,2,126,藍夜,紅天行者,白鏡,藍手,黃戰士,1413
V01:H04,4,2,127,黃種子,紅地球,白巫師,藍鷹,黃太陽,1458
V01:H05,5,2,128,紅蛇,紅天行者,白巫師,藍鷹,黃戰士,1440
V01:H06,6,2,129,白世界橋,紅天行者,白世界橋,藍鷹,黃戰士,1464
V01:H07,7,2,130,藍手,紅地球,白巫師,藍風暴,黃人,1689
V01:H08,8,2,131,黃星星,紅天行者,白鏡,藍猴,黃人,1647
V01:H09,9,2,132,紅月,紅蛇,白狗,藍風暴,黃人,1623
V01:H10,10,2,133,白狗,紅月,白鏡,藍猴,黃太陽,1737
V01:H11,11,2,134,藍猴,紅龍,白狗,藍猴,黃星星,1335
V01:H12,12,2,135,黃人,紅月,白風,藍手,黃種子,1149
V01:H13,13,2,136,紅天行者,紅地球,白世界橋,藍夜,黃星星,1431
V01:H14,14,2,137,白巫師,紅蛇,白巫師,藍手,黃種子,1221
V01:H15,15,2,138,藍鷹,紅蛇,白世界橋,藍手,黃種子,1245
V01:H16,16,2,139,黃戰士,紅蛇,白世界橋,藍夜,黃太陽,1401
V01:H17,17,2,140,紅地球,紅天行者,白風,藍手,黃種子,1236
V01:H18,18,2,141,白鏡,紅龍,白世界橋,藍夜,黃星星,1230
V01:H19,19,2,142,藍風暴,紅月,白風,藍風暴,黃太陽,1680
V01:H20,20,2,143,黃太陽,紅龍,白狗,藍風暴,黃人,1551
V02:H01,21,3,124,紅龍,紅蛇,白鏡,藍猴,黃太陽,1524
V02:H02,22,3,125,白風,紅地球,白鏡,藍風暴,黃人,1668
V02:H03,23,3,126,藍夜,紅天行者,白鏡,藍猴,黃戰士,1434
V02:H04,24,3,127,黃種子,紅地球,白巫師,藍鷹,黃種子,1134
V02:H05,25,3,128,紅蛇,紅地球,白巫師,藍鷹,黃戰士,1521
V02:H06,26,3,129,白世界橋,紅天行者,白狗,藍鷹,黃戰士,1473
V02:H07,27,3,130,藍手,紅地球,白巫師,藍手,黃人,1572
V02:H08,28,3,131,黃星星,紅天行者,白鏡,藍猴,黃太陽,1743
V02:H09,29,3,132,紅月,紅天行者,白狗,藍風暴,黃人,1650
V02:H10,30,3,133,白狗,紅月,白世界橋,藍猴,黃太陽,1629
V02:H11,31,3,134,藍猴,紅龍,白狗,藍風暴,黃星星,1431
V02:H12,32,3,135,黃人,紅月,白風,藍手,黃人,1377
V02:H13,33,3,136,紅天行者,紅蛇,白世界橋,藍夜,黃星星,1323
V02:H14,34,3,137,白巫師,紅蛇,白鏡,藍手,黃種子,1347
V02:H15,35,3,138,藍鷹,紅蛇,白世界橋,藍猴,黃種子,1266
V02:H16,36,3,139,黃戰士,紅蛇,白世界橋,藍夜,黃種子,1077
V02:H17,37,3,140,紅地球,紅地球,白風,藍手,黃種子,1317
V02:H18,38,3,141,白鏡,紅龍,白狗,藍夜,黃星星,1239
V02:H19,39,3,142,藍風暴,紅月,白風,藍夜,黃太陽,1398
V02:H20,40,3,143,黃太陽,紅龍,白狗,藍風暴,黃太陽,1647
V03:H01,41,4,124,紅龍,紅天行者,白鏡,藍猴,黃太陽,1551
V03:H02,42,4,125,白風,紅地球,白世界橋,藍風暴,黃人,1560
V03:H03,43,4,126,藍夜,紅天行者,白鏡,藍風暴,黃戰士,1530
V03:H04,44,4,127,黃種子,紅地球,白巫師,藍鷹,黃人,1362
V03:H05,45,4,128,紅蛇,紅蛇,白巫師,藍鷹,黃戰士,1413
V03:H06,46,4,129,白世界橋,紅天行者,白鏡,藍鷹,黃戰士,1572
V03:H07,47,4,130,藍手,紅地球,白巫師,藍猴,黃人,1593
V03:H08,48,4,131,黃星星,紅天行者,白鏡,藍猴,黃種子,1419
V03:H09,49,4,132,紅月,紅地球,白狗,藍風暴,黃人,1731
V03:H10,50,4,133,白狗,紅月,白狗,藍猴,黃太陽,1638
V03:H11,51,4,134,藍猴,紅龍,白狗,藍夜,黃星星,1149
V03:H12,52,4,135,黃人,紅月,白風,藍手,黃戰士,1338
V03:H13,53,4,136,紅天行者,紅天行者,白世界橋,藍夜,黃星星,1350
V03:H14,54,4,137,白巫師,紅蛇,白世界橋,藍手,黃種子,1239
V03:H15,55,4,138,藍鷹,紅蛇,白世界橋,藍風暴,黃種子,1362
V03:H16,56,4,139,黃戰士,紅蛇,白世界橋,藍夜,黃人,1305
V03:H17,57,4,140,紅地球,紅蛇,白風,藍手,黃種子,1209
V03:H18,58,4,141,白鏡,紅龍,白鏡,藍夜,黃星星,1338
V03:H19,59,4,142,藍風暴,紅月,白風,藍猴,黃太陽,1584
V03:H20,60,4,143,黃太陽,紅龍,白狗,藍風暴,黃種子,1323
V04:H01,61,5,124,紅龍,紅地球,白鏡,藍猴,黃太陽,1632
V04:H02,62,5,125,白風,紅地球,白狗,藍風暴,黃人,1569
V04:H03,63,5,126,藍夜,紅天行者,白鏡,藍夜,黃戰士,1248
V04:H04,64,5,127,黃種子,紅地球,白巫師,藍鷹,黃戰士,1323
V04:H05,65,5,128,紅蛇,紅月,白巫師,藍鷹,黃戰士,1431
V04:H06,66,5,129,白世界橋,紅天行者,白世界橋,藍鷹,黃戰士,1464
V04:H07,67,5,130,藍手,紅地球,白巫師,藍風暴,黃人,1689
V04:H08,68,5,131,黃星星,紅天行者,白鏡,藍猴,黃人,1647
V04:H09,69,5,132,紅月,紅蛇,白狗,藍風暴,黃人,1623
V04:H10,70,5,133,白狗,紅月,白鏡,藍猴,黃太陽,1737
V04:H11,71,5,134,藍猴,紅龍,白狗,藍猴,黃星星,1335
V04:H12,72,5,135,黃人,紅月,白風,藍手,黃種子,1149
V04:H13,73,5,136,紅天行者,紅地球,白世界橋,藍夜,黃星星,1431
V04:H14,74,5,137,白巫師,紅蛇,白狗,藍手,黃種子,1248
V04:H15,75,5,138,藍鷹,紅蛇,白世界橋,藍夜,黃種子,1080
V04:H16,76,5,139,黃戰士,紅蛇,白世界橋,藍夜,黃戰士,1266
V04:H17,77,5,140,紅地球,紅月,白風,藍手,黃種子,1227
V04:H18,78,5,141,白鏡,紅龍,白風,藍夜,黃星星,1080
V04:H19,79,5,142,藍風暴,紅月,白風,藍風暴,黃太陽,1680
V04:H20,80,5,143,黃太陽,紅龍,白狗,藍風暴,黃人,1551
V05:H01,81,6,124,紅龍,紅蛇,白鏡,藍猴,黃太陽,1524
V05:H02,82,6,125,白風,紅地球,白鏡,藍風暴,黃人,1668
V05:H03,83,6,126,藍夜,紅天行者,白鏡,藍猴,黃戰士,1434
V05:H04,84,6,127,黃種子,紅地球,白巫師,藍鷹,黃種子,1134
V05:H05,85,6,128,紅蛇,紅地球,白巫師,藍鷹,黃戰士,1521
V05:H06,86,6,129,白世界橋,紅天行者,白狗,藍鷹,黃戰士,1473
V05:H07,87,6,130,藍手,紅地球,白巫師,藍夜,黃人,1407
V05:H08,88,6,131,黃星星,紅天行者,白鏡,藍猴,黃戰士,1608
V05:H09,89,6,132,紅月,紅月,白狗,藍風暴,黃人,1641
V05:H10,90,6,133,白狗,紅月,白風,藍猴,黃太陽,1479
V05:H11,91,6,134,藍猴,紅龍,白狗,藍鷹,黃星星,1305
V05:H12,92,6,135,黃人,紅月,白風,藍手,黃人,1377
V05:H13,93,6,136,紅天行者,紅蛇,白世界橋,藍夜,黃星星,1323
V05:H14,94,6,137,白巫師,紅蛇,白鏡,藍手,黃種子,1347
V05:H15,95,6,138,藍鷹,紅蛇,白世界橋,藍猴,黃種子,1266
V05:H16,96,6,139,黃戰士,紅蛇,白世界橋,藍夜,黃種子,1077
V05:H17,97,6,140,紅地球,紅地球,白風,藍手,黃種子,1317
V05:H18,98,6,141,白鏡,紅龍,白狗,藍夜,黃星星,1239
V05:H19,99,6,142,藍風暴,紅月,白風,藍夜,黃太陽,1398
V05:H20,100,6,143,黃太陽,紅龍,白狗,藍風暴,黃戰士,1512
V06:H01,101,7,124,紅龍,紅月,白鏡,藍猴,黃太陽,1542
V06:H02,102,7,125,白風,紅地球,白風,藍風暴,黃人,1410
V06:H03,103,7,126,藍夜,紅天行者,白鏡,藍鷹,黃戰士,1404
V06:H04,104,7,127,黃種子,紅地球,白巫師,藍鷹,黃星星,1344
V06:H05,105,7,128,紅蛇,紅蛇,白巫師,藍鷹,黃戰士,1413
V06:H06,106,7,129,白世界橋,紅天行者,白鏡,藍鷹,黃戰士,1572
V06:H07,107,7,130,藍手,紅地球,白巫師,藍猴,黃人,1593
V06:H08,108,7,131,黃星星,紅天行者,白鏡,藍猴,黃種子,1419
V06:H09,109,7,132,紅月,紅地球,白狗,藍風暴,黃人,1731
V06:H10,110,7,133,白狗,紅月,白狗,藍猴,黃太陽,1638
V06:H11,111,7,134,藍猴,紅龍,白狗,藍夜,黃星星,1149
V06:H12,112,7,135,黃人,紅月,白風,藍手,黃戰士,1338
V06:H13,113,7,136,紅天行者,紅月,白世界橋,藍夜,黃星星,1341
V06:H14,114,7,137,白巫師,紅蛇,白風,藍手,黃種子,1089
V06:H15,115,7,138,藍鷹,紅蛇,白世界橋,藍鷹,黃種子,1236
V06:H16,116,7,139,黃戰士,紅蛇,白世界橋,藍夜,黃星星,1287
V06:H17,117,7,140,紅地球,紅龍,白風,藍手,黃種子,1029
V06:H18,118,7,141,白鏡,紅龍,白鏡,藍夜,黃星星,1338
V06:H19,119,7,142,藍風暴,紅月,白風,藍猴,黃太陽,1584
V06:H20,120,7,143,黃太陽,紅龍,白狗,藍風暴,黃種子,1323
V07:H01,121,8,124,紅龍,紅地球,白鏡,藍猴,黃太陽,1632
V07:H02,122,8,125,白風,紅地球,白狗,藍風暴,黃人,1569
V07:H03,123,8,126,藍夜,紅天行者,白鏡,藍夜,黃戰士,1248
V07:H04,124,8,127,黃種子,紅地球,白巫師,藍鷹,黃戰士,1323
V07:H05,125,8,128,紅蛇,紅月,白巫師,藍鷹,黃戰士,1431
V07:H06,126,8,129,白世界橋,紅天行者,白風,藍鷹,黃戰士,1314
V07:H07,127,8,130,藍手,紅地球,白巫師,藍鷹,黃人,1563
V07:H08,128,8,131,黃星星,紅天行者,白鏡,藍猴,黃星星,1629
V07:H09,129,8,132,紅月,紅龍,白狗,藍風暴,黃人,1443
V07:H10,130,8,133,白狗,紅月,白巫師,藍猴,黃太陽,1611
V07:H11,131,8,134,藍猴,紅龍,白狗,藍猴,黃星星,1335
V07:H12,132,8,135,黃人,紅月,白風,藍手,黃種子,1149
V07:H13,133,8,136,紅天行者,紅地球,白世界橋,藍夜,黃星星,1431
V07:H14,134,8,137,白巫師,紅蛇,白狗,藍手,黃種子,1248
V07:H15,135,8,138,藍鷹,紅蛇,白世界橋,藍夜,黃種子,1080
V07:H16,136,8,139,黃戰士,紅蛇,白世界橋,藍夜,黃戰士,1266
V07:H17,137,8,140,紅地球,紅月,白風,藍手,黃種子,1227
V07:H18,138,8,141,白鏡,紅龍,白風,藍夜,黃星星,1080
V07:H19,139,8,142,藍風暴,紅月,白風,藍鷹,黃太陽,1554
V07:H20,140,8,143,黃太陽,紅龍,白狗,藍風暴,黃星星,1533
V08:H01,141,9,124,紅龍,紅龍,白鏡,藍猴,黃太陽,1344
V08:H02,142,9,125,白風,紅地球,白巫師,藍風暴,黃人,1542
V08:H03,143,9,126,藍夜,紅天行者,白鏡,藍手,黃戰士,1413
V08:H04,144,9,127,黃種子,紅地球,白巫師,藍鷹,黃種子,1134
V08:H05,145,9,128,紅蛇,紅地球,白巫師,藍鷹,黃戰士,1521
V08:H06,146,9,129,白世界橋,紅天行者,白狗,藍鷹,黃戰士,1473
V08:H07,147,9,130,藍手,紅地球,白巫師,藍夜,黃人,1407
V08:H08,148,9,131,黃星星,紅天行者,白鏡,藍猴,黃戰士,1608
V08:H09,149,9,132,紅月,紅月,白狗,藍風暴,黃人,1641
V08:H10,150,9,133,白狗,紅月,白風,藍猴,黃太陽,1479
V08:H11,151,9,134,藍猴,紅龍,白狗,藍鷹,黃星星,1305
V08:H12,152,9,135,黃人,紅月,白風,藍手,黃星星,1359
V08:H13,153,9,136,紅天行者,紅龍,白世界橋,藍夜,黃星星,1143
V08:H14,154,9,137,白巫師,紅蛇,白巫師,藍手,黃種子,1221
V08:H15,155,9,138,藍鷹,紅蛇,白世界橋,藍手,黃種子,1245
V08:H16,156,9,139,黃戰士,紅蛇,白世界橋,藍夜,黃太陽,1401
V08:H17,157,9,140,紅地球,紅地球,白風,藍手,黃種子,1317
V08:H18,158,9,141,白鏡,紅龍,白狗,藍夜,黃星星,1239
V08:H19,159,9,142,藍風暴,紅月,白風,藍夜,黃太陽,1398
V08:H20,160,9,143,黃太陽,紅龍,白狗,藍風暴,黃戰士,1512
V09:H01,161,10,124,紅龍,紅月,白鏡,藍猴,黃太陽,1542
V09:H02,162,10,125,白風,紅地球,白風,藍風暴,黃人,1410
V09:H03,163,10,126,藍夜,紅天行者,白鏡,藍鷹,黃戰士,1404
V09:H04,164,10,127,黃種子,紅地球,白巫師,藍鷹,黃星星,1344
V09:H05,165,10,128,紅蛇,紅龍,白巫師,藍鷹,黃戰士,1233
V09:H06,166,10,129,白世界橋,紅天行者,白巫師,藍鷹,黃戰士,1446
V09:H07,167,10,130,藍手,紅地球,白巫師,藍手,黃人,1572
V09:H08,168,10,131,黃星星,紅天行者,白鏡,藍猴,黃太陽,1743
V09:H09,169,10,132,紅月,紅天行者,白狗,藍風暴,黃人,1650
V09:H10,170,10,133,白狗,紅月,白狗,藍猴,黃太陽,1638
V09:H11,171,10,134,藍猴,紅龍,白狗,藍夜,黃星星,1149
V09:H12,172,10,135,黃人,紅月,白風,藍手,黃戰士,1338
V09:H13,173,10,136,紅天行者,紅月,白世界橋,藍夜,黃星星,1341
V09:H14,174,10,137,白巫師,紅蛇,白風,藍手,黃種子,1089
V09:H15,175,10,138,藍鷹,紅蛇,白世界橋,藍鷹,黃種子,1236
V09:H16,176,10,139,黃戰士,紅蛇,白世界橋,藍夜,黃星星,1287
V09:H17,177,10,140,紅地球,紅龍,白風,藍手,黃種子,1029
V09:H18,178,10,141,白鏡,紅龍,白巫師,藍夜,黃星星,1212
V09:H19,179,10,142,藍風暴,紅月,白風,藍手,黃太陽,1563
V09:H20,180,10,143,黃太陽,紅龍,白狗,藍風暴,黃太陽,1647
V10:H01,181,11,124,紅龍,紅天行者,白鏡,藍猴,黃太陽,1551
V10:H02,182,11,125,白風,紅地球,白世界橋,藍風暴,黃人,1560
V10:H03,183,11,126,藍夜,紅天行者,白鏡,藍夜,黃戰士,1248
V10:H04,184,11,127,黃種子,紅地球,白巫師,藍鷹,黃戰士,1323
V10:H05,185,11,128,紅蛇,紅月,白巫師,藍鷹,黃戰士,1431
V10:H06,186,11,129,白世界橋,紅天行者,白風,藍鷹,黃戰士,1314
V10:H07,187,11,130,藍手,紅地球,白巫師,藍鷹,黃人,1563
V10:H08,188,11,131,黃星星,紅天行者,白鏡,藍猴,黃星星,1629
V10:H09,189,11,132,紅月,紅龍,白狗,藍風暴,黃人,1443
V10:H10,190,11,133,白狗,紅月,白巫師,藍猴,黃太陽,1611
V10:H11,191,11,134,藍猴,紅龍,白狗,藍手,黃星星,1314
V10:H12,192,11,135,黃人,紅月,白風,藍手,黃太陽,1473
V10:H13,193,11,136,紅天行者,紅天行者,白世界橋,藍夜,黃星星,1350
V10:H14,194,11,137,白巫師,紅蛇,白世界橋,藍手,黃種子,1239
V10:H15,195,11,138,藍鷹,紅蛇,白世界橋,藍風暴,黃種子,1362
V10:H16,196,11,139,黃戰士,紅蛇,白世界橋,藍夜,黃戰士,1266
V10:H17,197,11,140,紅地球,紅月,白風,藍手,黃種子,1227
V10:H18,198,11,141,白鏡,紅龍,白風,藍夜,黃星星,1080
V10:H19,199,11,142,藍風暴,紅月,白風,藍鷹,黃太陽,1554
V10:H20,200,11,143,黃太陽,紅龍,白狗,藍風暴,黃星星,1533
V11:H01,201,12,124,紅龍,紅龍,白鏡,藍猴,黃太陽,1344
V11:H02,202,12,125,白風,紅地球,白巫師,藍風暴,黃人,1542
V11:H03,203,12,126,藍夜,紅天行者,白鏡,藍手,黃戰士,1413
V11:H04,204,12,127,黃種子,紅地球,白巫師,藍鷹,黃太陽,1458
V11:H05,205,12,128,紅蛇,紅天行者,白巫師,藍鷹,黃戰士,1440
V11:H06,206,12,129,白世界橋,紅天行者,白世界橋,藍鷹,黃戰士,1464
V11:H07,207,12,130,藍手,紅地球,白巫師,藍風暴,黃人,1689
V11:H08,208,12,131,黃星星,紅天行者,白鏡,藍猴,黃人,1647
V11:H09,209,12,132,紅月,紅月,白狗,藍風暴,黃人,1641
V11:H10,210,12,133,白狗,紅月,白風,藍猴,黃太陽,1479
V11:H11,211,12,134,藍猴,紅龍,白狗,藍鷹,黃星星,1305
V11:H12,212,12,135,黃人,紅月,白風,藍手,黃星星,1359
V11:H13,213,12,136,紅天行者,紅龍,白世界橋,藍夜,黃星星,1143
V11:H14,214,12,137,白巫師,紅蛇,白巫師,藍手,黃種子,1221
V11:H15,215,12,138,藍鷹,紅蛇,白世界橋,藍手,黃種子,1245
V11:H16,216,12,139,黃戰士,紅蛇,白世界橋,藍夜,黃太陽,1401
V11:H17,217,12,140,紅地球,紅天行者,白風,藍手,黃種子,1236
V11:H18,218,12,141,白鏡,紅龍,白世界橋,藍夜,黃星星,1230
V11:H19,219,12,142,藍風暴,紅月,白風,藍風暴,黃太陽,1680
V11:H20,220,12,143,黃太陽,紅龍,白狗,藍風暴,黃人,1551
V12:H01,221,13,124,紅龍,紅蛇,白鏡,藍猴,黃太陽,1524
V12:H02,222,13,125,白風,紅地球,白風,藍風暴,黃人,1410
V12:H03,223,13,126,藍夜,紅天行者,白鏡,藍鷹,黃戰士,1404
V12:H04,224,13,127,黃種子,紅地球,白巫師,藍鷹,黃星星,1344
V12:H05,225,13,128,紅蛇,紅龍,白巫師,藍鷹,黃戰士,1233
V12:H06,226,13,129,白世界橋,紅天行者,白巫師,藍鷹,黃戰士,1446
V12:H07,227,13,130,藍手,紅地球,白巫師,藍手,黃人,1572
V12:H08,228,13,131,黃星星,紅天行者,白鏡,藍猴,黃太陽,1743
V12:H09,229,13,132,紅月,紅天行者,白狗,藍風暴,黃人,1650
V12:H10,230,13,133,白狗,紅月,白世界橋,藍猴,黃太陽,1629
V12:H11,231,13,134,藍猴,紅龍,白狗,藍風暴,黃星星,1431
V12:H12,232,13,135,黃人,紅月,白風,藍手,黃人,1377
V12:H13,233,13,136,紅天行者,紅蛇,白世界橋,藍夜,黃星星,1323
V12:H14,234,13,137,白巫師,紅蛇,白鏡,藍手,黃種子,1347
V12:H15,235,13,138,藍鷹,紅蛇,白世界橋,藍鷹,黃種子,1236
V12:H16,236,13,139,黃戰士,紅蛇,白世界橋,藍夜,黃星星,1287
V12:H17,237,13,140,紅地球,紅龍,白風,藍手,黃種子,1029
V12:H18,238,13,141,白鏡,紅龍,白巫師,藍夜,黃星星,1212
V12:H19,239,13,142,藍風暴,紅月,白風,藍手,黃太陽,1563
V12:H20,240,13,143,黃太陽,紅龍,白狗,藍風暴,黃太陽,1647
V13:H01,241,14,124,紅龍,紅天行者,白鏡,藍猴,黃太陽,1551
V13:H02,242,14,125,白風,紅地球,白世界橋,藍風暴,黃人,1560
V13:H03,243,14,126,藍夜,紅天行者,白鏡,藍風暴,黃戰士,1530
V13:H04,244,14,127,黃種子,紅地球,白巫師,藍鷹,黃人,1362
V13:H05,245,14,128,紅蛇,紅蛇,白巫師,藍鷹,黃戰士,1413
V13:H06,246,14,129,白世界橋,紅天行者,白鏡,藍鷹,黃戰士,1572
V13:H07,247,14,130,藍手,紅地球,白巫師,藍猴,黃人,1593
V13:H08,248,14,131,黃星星,紅天行者,白鏡,藍猴,黃星星,1629
V13:H09,249,14,132,紅月,紅龍,白狗,藍風暴,黃人,1443
V13:H10,250,14,133,白狗,紅月,白巫師,藍猴,黃太陽,1611
V13:H11,251,14,134,藍猴,紅龍,白狗,藍手,黃星星,1314
V13:H12,252,14,135,黃人,紅月,白風,藍手,黃太陽,1473
V13:H13,253,14,136,紅天行者,紅天行者,白世界橋,藍夜,黃星星,1350
V13:H14,254,14,137,白巫師,紅蛇,白世界橋,藍手,黃種子,1239
V13:H15,255,14,138,藍鷹,紅蛇,白世界橋,藍風暴,黃種子,1362
V13:H16,256,14,139,黃戰士,紅蛇,白世界橋,藍夜,黃人,1305
V13:H17,257,14,140,紅地球,紅蛇,白風,藍手,黃種子,1209
V13:H18,258,14,141,白鏡,紅龍,白鏡,藍夜,黃星星,1338
V13:H19,259,14,142,藍風暴,紅月,白風,藍猴,黃太陽,1584
V13:H20,260,14,143,黃太陽,紅龍,白狗,藍風暴,黃種子,1323
