KIN,調性數字,調性,圖騰數字,圖騰,主印記,矩陣位置,KIN,波符,波符加印記,城堡,波符加印記城堡,銀河季節,波符加印記城堡銀河季節,諧波,密碼子,調性數字,調性,圖騰數字,圖騰,星際原型,BMU,行星,流,電路,說明,家族,對應脈輪,電路,電路說明
1,1,磁性,1,紅龍,磁性紅龍,V01:H01,1,紅龍波符,紅龍波符磁性紅龍,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符磁性紅龍,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符磁性紅龍,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",1,磁性,1,紅龍,原動力,108,海王星,銀河業力流(GK),電路2：共有的記憶本能,記憶出生打開進入靜心永恆之門,基本家族,喉輪,電路1：阿爾法•歐米茄充電電路,元意識電路，是最高級別意識的微小平台與整個星系的順序相連接。
2,2,月亮,2,白風,月亮白風,V01:H02,2,紅龍波符,紅龍波符月亮白風,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符月亮白風,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符月亮白風,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",2,月亮,2,白風,女祭司,144,天王星,銀河業力流(GK),電路3：預言遊戲棋盤，地球發聲管道,心靈打開導航/共時之門,核心家族,心輪,電路2：共有的記憶本能,來自銀河系元意識的本能和心電感應的源頭。
3,3,電力,3,藍夜,電力藍夜,V01:H03,3,紅龍波符,紅龍波符電力藍夜,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符電力藍夜,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符電力藍夜,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",3,電力,3,藍夜,夢想家,126,土星,銀河業力流(GK),電路4：表達智能,心靈豐盛打開智能無懼之門,信號家族,太陽神經叢,電路3：預言遊戲棋盤，地球發聲管道,雙心電感應電路，是太陽系整個發聲管道系統的核心部分。
4,4,自我存在,4,黃種子,自我存在黃種子,V01:H04,4,紅龍波符,紅龍波符自我存在黃種子,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符自我存在黃種子,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符自我存在黃種子,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",4,自我存在,4,黃種子,純真的人,90,木星,銀河業力流(GK),電路5：吸收智能,成就/覺知打開視野之門,通道家族,海底輪,電路4：表達智能,感知活動被外化，同時外部感官被傳送至感官系統之中。
5,5,超頻,5,紅蛇,超頻紅蛇,V01:H05,5,紅龍波符,紅龍波符超頻紅蛇,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符超頻紅蛇,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符超頻紅蛇,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",5,超頻,5,紅蛇,啟動的蛇,288,馬爾戴克星,銀河業力流(GK),電路5：吸收智能,性/生命力打開永恆之門,極性家族,頂輪,電路5：吸收智能,感知活動被內化，在外化的電路中進行最後的流動。
6,6,韻律,6,白世界橋,韻律白世界橋,V01:H06,6,紅龍波符,紅龍波符韻律白世界橋,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符韻律白世界橋,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符韻律白世界橋,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",6,韻律,6,白世界橋,教皇,294,火星,銀河業力流(GK),電路4：表達智能,死亡打開預言/空間之門,基本家族,喉輪,,
7,7,共振,7,藍手,共振藍手,V01:H07,7,紅龍波符,紅龍波符共振藍手,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符共振藍手,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符共振藍手,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",7,共振,7,藍手,阿凡達,291,地球,銀河業力流(GK),電路3：預言遊戲棋盤，地球發聲管道,貫徹打開自由意志智慧之門,核心家族,心輪,,
8,8,銀河星系,8,黃星星,銀河星系黃星星,V01:H08,8,紅龍波符,紅龍波符銀河星系黃星星,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符銀河星系黃星星,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符銀河星系黃星星,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",8,銀河星系,8,黃星星,藝術家,300,金星,銀河業力流(GK),電路2：共有的記憶本能,藝術打開魔法之門,信號家族,太陽神經叢,,
9,9,太陽,9,紅月,太陽紅月,V01:H09,9,紅龍波符,紅龍波符太陽紅月,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符太陽紅月,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符太陽紅月,"諧波3 
水晶的作用，構建合作的自由意志","第6股 動力建構之道
時間的穿透力
44天風姤卦",9,太陽,9,紅月,治療師,306,水星,銀河業力流(GK),電路1：阿爾法•歐米茄充電電路,淨化打開愛之門,通道家族,海底輪,,
10,10,行星,10,白狗,行星白狗,V01:H10,10,紅龍波符,紅龍波符行星白狗,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符行星白狗,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符行星白狗,"諧波3 
水晶的作用，構建合作的自由意志","第6股 動力建構之道
時間的穿透力
44天風姤卦",10,行星,10,白狗,慈悲者,303,水星,太陽預言流(SP),電路1：阿爾法•歐米茄充電電路,淨化打開愛之門,極性家族,頂輪,,
11,11,光譜,11,藍猴,光譜藍猴,V01:H11,11,紅龍波符,紅龍波符光譜藍猴,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符光譜藍猴,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符光譜藍猴,"諧波3 
水晶的作用，構建合作的自由意志","第6股 動力建構之道
時間的穿透力
44天風姤卦",11,光譜,11,藍猴,魔術師,312,金星,太陽預言流(SP),電路2：共有的記憶本能,藝術打開魔法之門,基本家族,喉輪,,
12,12,水晶,12,黃人,水晶黃人,V01:H12,12,紅龍波符,紅龍波符水晶黃人,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符水晶黃人,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符水晶黃人,"諧波3 
水晶的作用，構建合作的自由意志","第6股 動力建構之道
時間的穿透力
44天風姤卦",12,水晶,12,黃人,聖哲,318,地球,太陽預言流(SP),電路3：預言遊戲棋盤，地球發聲管道,貫徹打開自由意志智慧之門,核心家族,心輪,,
13,13,宇宙,13,紅天行者,宇宙紅天行者,V01:H13,13,紅龍波符,紅龍波符宇宙紅天行者,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符宇宙紅天行者,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符宇宙紅天行者,"諧波4 
電力的輸出，表現服務的智能","第2股 舉止之道
眾人的智慧
14火天大有卦",13,宇宙,13,紅天行者,預言家,315,火星,太陽預言流(SP),電路4：表達智能,死亡打開預言/空間之門,信號家族,太陽神經叢,,
14,1,磁性,14,白巫師,磁性白巫師,V01:H14,14,白巫師波符,白巫師波符磁性白巫師,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符磁性白巫師,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符磁性白巫師,"諧波4 
電力的輸出，表現服務的智能","第2股 舉止之道
眾人的智慧
14火天大有卦",,不指定,14,白巫師,巫師,276,馬爾戴克星,太陽預言流(SP),電路5：吸收智能,性/生命力打開永恆之門,通道家族,海底輪,,
15,2,月亮,15,藍鷹,月亮藍鷹,V01:H15,15,白巫師波符,白巫師波符月亮藍鷹,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符月亮藍鷹,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符月亮藍鷹,"諧波4 
電力的輸出，表現服務的智能","第2股 舉止之道
眾人的智慧
14火天大有卦",,,15,藍鷹,先知,282,木星,太陽預言流(SP),電路5：吸收智能,成就/覺知打開視野之門,極性家族,頂輪,,
16,3,電力,16,黃戰士,電力黃戰士,V01:H16,16,白巫師波符,白巫師波符電力黃戰士,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符電力黃戰士,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符電力黃戰士,"諧波4 
電力的輸出，表現服務的智能","第2股 舉止之道
眾人的智慧
14火天大有卦",,,16,黃戰士,開創者,279,土星,太陽預言流(SP),電路4：表達智能,心靈豐盛打開智能無懼之門,基本家族,喉輪,,
17,4,自我存在,17,紅地球,自我存在紅地球,V01:H17,17,白巫師波符,白巫師波符自我存在紅地球,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符自我存在紅地球,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符自我存在紅地球,"諧波5 
共鳴的母體矩陣，自我調整協調的宇宙之火","第4股 第四超越之道
正在使用的時間
28澤風大過卦",,,17,紅地球,領航者,396,天王星,太陽預言流(SP),電路3：預言遊戲棋盤，地球發聲管道,心靈打開導航/共時之門,核心家族,心輪,,
18,5,超頻,18,白鏡,超頻白鏡,V01:H18,18,白巫師波符,白巫師波符超頻白鏡,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符超頻白鏡,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符超頻白鏡,"諧波5 
共鳴的母體矩陣，自我調整協調的宇宙之火","第4股 第四超越之道
正在使用的時間
28澤風大過卦",,,18,白鏡,瑜伽士,402,海王星,太陽預言流(SP),電路2：共有的記憶本能,記憶出生打開進入靜心永恆之門,信號家族,太陽神經叢,,
19,6,韻律,19,藍風暴,韻律藍風暴,V01:H19,19,白巫師波符,白巫師波符韻律藍風暴,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符韻律藍風暴,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符韻律藍風暴,"諧波5 
共鳴的母體矩陣，自我調整協調的宇宙之火","第4股 第四超越之道
正在使用的時間
28澤風大過卦",,,19,藍風暴,世界改革者,408,冥王星,太陽預言流(SP),電路1：阿爾法•歐米茄充電電路,擺脫蒙昧打開自然運生之門,通道家族,海底輪,,
20,7,共振,20,黃太陽,共振黃太陽,V01:H20,20,白巫師波符,白巫師波符共振黃太陽,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符共振黃太陽,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符共振黃太陽,"諧波5 
共鳴的母體矩陣，自我調整協調的宇宙之火","第4股 第四超越之道
正在使用的時間
28澤風大過卦",,,20,黃太陽,開悟者,414,冥王星,銀河業力流(GK),電路1：阿爾法•歐米茄充電電路,擺脫蒙昧打開自然運生之門,極性家族,頂輪,,
21,8,銀河星系,1,紅龍,銀河星系紅龍,V02:H01,21,白巫師波符,白巫師波符銀河星系紅龍,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符銀河星系紅龍,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符銀河星系紅龍,"諧波6 
光譜的輸入，賦予解脫的盛開","第5股 第五不可抑制之道
祈禱
34雷天大壯卦",,,,不指定,,,,,,,,,,
22,9,太陽,2,白風,太陽白風,V02:H02,22,白巫師波符,白巫師波符太陽白風,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符太陽白風,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符太陽白風,"諧波6 
光譜的輸入，賦予解脫的盛開","第5股 第五不可抑制之道
祈禱
34雷天大壯卦",,,,,,,,,,,,,,
23,10,行星,3,藍夜,行星藍夜,V02:H03,23,白巫師波符,白巫師波符行星藍夜,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符行星藍夜,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符行星藍夜,"諧波6 
光譜的輸入，賦予解脫的盛開","第5股 第五不可抑制之道
祈禱
34雷天大壯卦",,,,,,,,,,,,,,
24,11,光譜,4,黃種子,光譜黃種子,V02:H04,24,白巫師波符,白巫師波符光譜黃種子,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符光譜黃種子,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符光譜黃種子,"諧波6 
光譜的輸入，賦予解脫的盛開","第5股 第五不可抑制之道
祈禱
34雷天大壯卦",,,,,,,,,,,,,,
25,12,水晶,5,紅蛇,水晶紅蛇,V02:H05,25,白巫師波符,白巫師波符水晶紅蛇,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符水晶紅蛇,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符水晶紅蛇,"諧波7
月亮的儲存，記得挑戰的優雅","第7股 心電感應之道
時間之轉化
50火風鼎卦",,,,,,,,,,,,,,
26,13,宇宙,6,白世界橋,宇宙白世界橋,V02:H06,26,白巫師波符,白巫師波符宇宙白世界橋,紅色東方啟動城堡,紅色東方啟動城堡白巫師波符宇宙白世界橋,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡白巫師波符宇宙白世界橋,"諧波7
月亮的儲存，記得挑戰的優雅","第7股 心電感應之道
時間之轉化
50火風鼎卦",,,,,,,,,,,,,,
27,1,磁性,7,藍手,磁性藍手,V02:H07,27,藍手波符,藍手波符磁性藍手,紅色東方啟動城堡,紅色東方啟動城堡藍手波符磁性藍手,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符磁性藍手,"諧波7
月亮的儲存，記得挑戰的優雅","第7股 心電感應之道
時間之轉化
50火風鼎卦",,,,,,,,,,,,,,
28,2,月亮,8,黃星星,月亮黃星星,V02:H08,28,藍手波符,藍手波符月亮黃星星,紅色東方啟動城堡,紅色東方啟動城堡藍手波符月亮黃星星,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符月亮黃星星,"諧波7
月亮的儲存，記得挑戰的優雅","第7股 心電感應之道
時間之轉化
50火風鼎卦",,,,,,,,,,,,,,
29,3,電力,9,紅月,電力紅月,V02:H09,29,藍手波符,藍手波符電力紅月,紅色東方啟動城堡,紅色東方啟動城堡藍手波符電力紅月,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符電力紅月,"諧波8
韻律的作用，構建均衡的自由意志","第2股 舉止之道
自律
09風天小畜卦",,,,,,,,,,,,,,
30,4,自我存在,10,白狗,自我存在白狗,V02:H10,30,藍手波符,藍手波符自我存在白狗,紅色東方啟動城堡,紅色東方啟動城堡藍手波符自我存在白狗,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符自我存在白狗,"諧波8
韻律的作用，構建均衡的自由意志","第2股 舉止之道
自律
09風天小畜卦",,,,,,,,,,,,,,
31,5,超頻,11,藍猴,超頻藍猴,V02:H11,31,藍手波符,藍手波符超頻藍猴,紅色東方啟動城堡,紅色東方啟動城堡藍手波符超頻藍猴,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符超頻藍猴,"諧波8
韻律的作用，構建均衡的自由意志","第2股 舉止之道
自律
09風天小畜卦",,,,,,,,,,,,,,
32,6,韻律,12,黃人,韻律黃人,V02:H12,32,藍手波符,藍手波符韻律黃人,紅色東方啟動城堡,紅色東方啟動城堡藍手波符韻律黃人,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符韻律黃人,"諧波8
韻律的作用，構建均衡的自由意志","第2股 舉止之道
自律
09風天小畜卦",,,,,,,,,,,,,,
33,7,共振,13,紅天行者,共振紅天行者,V02:H13,33,藍手波符,藍手波符共振紅天行者,紅色東方啟動城堡,紅色東方啟動城堡藍手波符共振紅天行者,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符共振紅天行者,"諧波9
行星的輸出，表現顯化的智能","第4股 第四超越之道
心智安忍
32雷風恆卦",,,,,,,,,,,,,,
34,8,銀河星系,14,白巫師,銀河星系白巫師,V02:H14,34,藍手波符,藍手波符銀河星系白巫師,紅色東方啟動城堡,紅色東方啟動城堡藍手波符銀河星系白巫師,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符銀河星系白巫師,"諧波9
行星的輸出，表現顯化的智能","第4股 第四超越之道
心智安忍
32雷風恆卦",,,,,,,,,,,,,,
35,9,太陽,15,藍鷹,太陽藍鷹,V02:H15,35,藍手波符,藍手波符太陽藍鷹,紅色東方啟動城堡,紅色東方啟動城堡藍手波符太陽藍鷹,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符太陽藍鷹,"諧波9
行星的輸出，表現顯化的智能","第4股 第四超越之道
心智安忍
32雷風恆卦",,,,,,,,,,,,,,
36,10,行星,16,黃戰士,行星黃戰士,V02:H16,36,藍手波符,藍手波符行星黃戰士,紅色東方啟動城堡,紅色東方啟動城堡藍手波符行星黃戰士,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符行星黃戰士,"諧波9
行星的輸出，表現顯化的智能","第4股 第四超越之道
心智安忍
32雷風恆卦",,,,,,,,,,,,,,
37,11,光譜,17,紅地球,光譜紅地球,V02:H17,37,藍手波符,藍手波符光譜紅地球,紅色東方啟動城堡,紅色東方啟動城堡藍手波符光譜紅地球,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符光譜紅地球,"諧波10
磁性的母體矩陣，自我調整目的的宇宙之火","第1股 樹之道
眾人匯聚
05水天需卦",,,,,,,,,,,,,,
38,12,水晶,18,白鏡,水晶白鏡,V02:H18,38,藍手波符,藍手波符水晶白鏡,紅色東方啟動城堡,紅色東方啟動城堡藍手波符水晶白鏡,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符水晶白鏡,"諧波10
磁性的母體矩陣，自我調整目的的宇宙之火","第1股 樹之道
眾人匯聚
05水天需卦",,,,,,,,,,,,,,
39,13,宇宙,19,藍風暴,宇宙藍風暴,V02:H19,39,藍手波符,藍手波符宇宙藍風暴,紅色東方啟動城堡,紅色東方啟動城堡藍手波符宇宙藍風暴,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡藍手波符宇宙藍風暴,"諧波10
磁性的母體矩陣，自我調整目的的宇宙之火","第1股 樹之道
眾人匯聚
05水天需卦",,,,,,,,,,,,,,
40,1,磁性,20,黃太陽,磁性黃太陽,V02:H20,40,黃太陽波符,黃太陽波符磁性黃太陽,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符磁性黃太陽,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符磁性黃太陽,"諧波10
磁性的母體矩陣，自我調整目的的宇宙之火","第1股 樹之道
眾人匯聚
05水天需卦",,,,,,,,,,,,,,
41,2,月亮,1,紅龍,月亮紅龍,V03:H01,41,黃太陽波符,黃太陽波符月亮紅龍,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符月亮紅龍,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符月亮紅龍,"諧波11
超頻的輸入，賦予光芒四射的盛開","第8股 銀河星系的八度音階之道
呼吸的心智
57巽為風卦",,,,,,,,,,,,,,
42,3,電力,2,白風,電力白風,V03:H02,42,黃太陽波符,黃太陽波符電力白風,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符電力白風,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符電力白風,"諧波11
超頻的輸入，賦予光芒四射的盛開","第8股 銀河星系的八度音階之道
呼吸的心智
57巽為風卦",,,,,,,,,,,,,,
43,4,自我存在,3,藍夜,自我存在藍夜,V03:H03,43,黃太陽波符,黃太陽波符自我存在藍夜,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符自我存在藍夜,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符自我存在藍夜,"諧波11
超頻的輸入，賦予光芒四射的盛開","第8股 銀河星系的八度音階之道
呼吸的心智
57巽為風卦",,,,,,,,,,,,,,
44,5,超頻,4,黃種子,超頻黃種子,V03:H04,44,黃太陽波符,黃太陽波符超頻黃種子,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符超頻黃種子,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符超頻黃種子,"諧波11
超頻的輸入，賦予光芒四射的盛開","第8股 銀河星系的八度音階之道
呼吸的心智
57巽為風卦",,,,,,,,,,,,,,
45,6,韻律,5,紅蛇,韻律紅蛇,V03:H05,45,黃太陽波符,黃太陽波符韻律紅蛇,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符韻律紅蛇,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符韻律紅蛇,"諧波12
太陽的儲存，記得意圖的優雅","第4股 第四超越之道
時間之聖殿
26山天大畜卦",,,,,,,,,,,,,,
46,7,共振,6,白世界橋,共振白世界橋,V03:H06,46,黃太陽波符,黃太陽波符共振白世界橋,紅色東方啟動城堡,紅色東方啟動城堡黃太陽波符共振白世界橋,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡黃太陽波符共振白世界橋,"諧波12
太陽的儲存，記得意圖的優雅","第4股 第四超越之道
時間之聖殿
26山天大畜卦",,,,,,,,,,,,,,
