編號,卦象,編碼一,編碼二,編碼三,編碼四,編碼五,編碼六,編碼,意涵,說明,下卦,意思,對應卦象,上卦,意思,對應卦象,元素上,元素上代號,元素上意思,元素中,元素中代號,元素中意思,元素下,元素下代號,元素下意思,諧波,二進位,意思,對應卦象,二進位,意思,代號
01,乾為天,1,1,1,1,1,1,111111,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現",111,時間/天堂,乾(天),111,時間/天堂,乾(天),11,A,時間(太陽),11,A,時間(太陽),11,A,時間(太陽),"諧波1 
自我存在的輸入，賦予形式的盛開",000,空間/地球,坤(地),00,空間(太陰),U
02,坤為地,0,0,0,0,0,0,000000,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",000,空間/地球,坤(地),000,空間/地球,坤(地),00,U,空間(太陰),00,U,空間(太陰),00,U,空間(太陰),"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",001,聖殿/靜心冥想,艮(山),01,放射光熱(少陰),C
03,水雷屯,1,0,0,0,1,0,100010,新生萌芽,"在樹梢上閃耀，月亮永新
來自中心平靜心智之花
自然之美是動人的祈禱",100,能量/雷,震(雷),010,心/月亮,坎(水),10,G,心智(少陽),00,U,空間(太陰),10,G,心智(少陽),"諧波59
月亮的輸出，表現挑戰的智能",010,心/月亮,坎(水),10,心智(少陽),G
04,山水蒙,0,1,0,0,0,1,010001,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門",010,心/月亮,坎(水),001,聖殿/靜心冥想,艮(山),01,C,放射光熱(少陰),00,U,空間(太陰),01,C,放射光熱(少陰),"諧波31 
共鳴的輸入，賦予協調的盛開",011,呼吸/風,巽(風),11,時間(太陽),A
05,水天需,1,1,1,0,1,0,111010,眾人匯聚,"終於相聚了，他們相互瞭解而照亮彼此
隨著一個接一個的月亮，他們跟隨著時間
在他們心智中，人們預見一個聚會時機",111,時間/天堂,乾(天),010,心/月亮,坎(水),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波10
磁性的母體矩陣，自我調整目的的宇宙之火",100,能量/雷,震(雷),,,
06,天水訟,0,1,0,1,1,1,010111,眾人分開,"所有星星皆有其獨特本性
煉金術士將靈性從黃金中分離
在六天中搜尋瑪納，天賜食糧",010,心/月亮,坎(水),111,時間/天堂,乾(天),01,C,放射光熱(少陰),01,C,放射光熱(少陰),01,C,放射光熱(少陰),"諧波19
光譜的輸出，表現解脫的智能",101,視野/太陽,離(火),,,
07,地水師,0,1,0,0,0,0,010000,眾人之力,"愛，是他們從地球收到的禮物
如同單一的宗族，他們升起了時間之樹
從他們自己的心智中，眾人出現",010,心/月亮,坎(水),000,空間/地球,坤(地),01,C,放射光熱(少陰),00,U,空間(太陰),01,C,放射光熱(少陰),"諧波34
韻律的輸出，表現均衡的智能",110,喜悅/海洋,兌(澤),,,
08,水地比,0,0,0,0,1,0,000010,眾人團結,"微觀世界承載天堂，新的破曉時分
時間之樹在時空重新加入時出現
合一寫在樹的年輪上",000,空間/地球,坤(地),010,心/月亮,坎(水),00,U,空間(太陰),00,U,空間(太陰),00,U,空間(太陰),"諧波62
磁性的儲存，記得目的的優雅",111,時間/天堂,乾(天),,,
09,風天小畜,1,1,1,0,1,1,111011,自律,"在時間之流鍾臣服你的心智
專注的聖杯裝滿太陽之光
將你的心智固定在不變之源上",111,時間/天堂,乾(天),011,呼吸/風,巽(風),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波8
韻律的作用，構建均衡的自由意志",,,,,,
10,天澤履,1,1,0,1,1,1,110111,履行實踐,"記憶之書被深深掩埋
沒有藉口的冥想
離開因果而意識到自我",110,喜悅/海洋,兌(澤),111,時間/天堂,乾(天),11,A,時間(太陽),01,C,放射光熱(少陰),11,A,時間(太陽),"諧波16
水晶的輸入，賦予合作的盛開",,,,,,
11,地天泰,1,1,1,0,0,0,111000,動力生機,"空間根據意識轉換形式
障礙消融於輻射光芒的海洋中
劃分時間，給予空間形式",111,時間/天堂,乾(天),000,空間/地球,坤(地),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波14
自我存在的輸出，表現形式的智能",,,,,,
12,天地否,0,0,0,1,1,1,000111,穩定,"時間真理發展出其結晶形式
培養內在太陽
靜謐的心智穩定空間",000,空間/地球,坤(地),111,時間/天堂,乾(天),00,U,空間(太陰),01,C,放射光熱(少陰),00,U,空間(太陰),"諧波52
宇宙的儲存，記得當下的優雅",,,,,,
13,天火同人,1,0,1,1,1,1,101111,同心協力之眾人,"一個太陽水晶升起—眾人跟隨的標誌
一顆遠古星星之美由其思想而生
眾人聚集在村莊廣場",101,視野/太陽,離(火),111,時間/天堂,乾(天),10,G,心智(少陽),11,A,時間(太陽),10,G,心智(少陽),"諧波32
光譜的儲存，記得解脫的優雅",,,,,,
14,火天大有,1,1,1,1,0,1,111101,眾人的智慧,"專注帶來更高維度的接觸
宇宙的對齊，增加了時間的知識
與地球一起呼吸，解開了結",111,時間/天堂,乾(天),101,視野/太陽,離(火),11,A,時間(太陽),11,A,時間(太陽),11,A,時間(太陽),"諧波4 
電力的輸出，表現服務的智能",,,,,,
15,地山謙,0,0,1,0,0,0,001000,眾人之道,"空間就是一個可以無限定位的光點
連結思想銀河中的光點
冥想所有存有的光與熱",001,聖殿/靜心冥想,艮(山),000,空間/地球,坤(地),00,U,空間(太陰),10,G,心智(少陽),00,U,空間(太陰),"諧波50
超頻的母體矩陣，自我調整光芒四射的宇宙之火",,,,,,
16,雷地豫,0,0,0,1,0,0,000100,眾人得勝,"藉由慈悲合一，心智擴展無邊際的空間
聚集圍繞著內在心智之火
清晰的空間打開心智",000,空間/地球,坤(地),100,能量/雷,震(雷),00,U,空間(太陰),01,C,放射光熱(少陰),00,U,空間(太陰),"諧波58
光譜的作用，構建解脫的自由意志",,,,,,
17,澤雷隨,1,0,0,1,1,0,100110,喚起喜悅,"輻射光芒的電流照亮宇宙之路
穩定的心智是輕鬆自在的
電荷敲擊內在感知迴路",100,能量/雷,震(雷),110,喜悅/海洋,兌(澤),10,G,心智(少陽),01,C,放射光熱(少陰),10,G,心智(少陽),"諧波51
太陽的輸入，
賦予意圖的盛開",,,,,,
18,山風蠱,0,1,1,0,0,1,011001,降伏心智,"在取之不盡的源頭中消融心智
在意識之海打磨石頭
只追隨內在之光",011,呼吸/風,巽(風),001,聖殿/靜心冥想,艮(山),01,C,放射光熱(少陰),10,G,心智(少陽),01,C,放射光熱(少陰),"諧波15
銀河星系的母體矩陣，自我調整完整的宇宙之火",,,,,,
19,地澤臨,1,1,0,0,0,0,110000,巫師之志,"穿越天際的旅程，教導降臨到地球
鏡像維度反映了內部空間
如同看見湖水中倒映的雲",110,喜悅/海洋,兌(澤),000,空間/地球,坤(地),11,A,時間(太陽),00,U,空間(太陰),11,A,時間(太陽),"諧波30
電力的母體矩陣，自我調整服務的宇宙之火",,,,,,
20,風地觀,0,0,0,0,1,1,000011,巫師之沉思,"時間因空間品質而變
空間對安靜心智敞開
神聖唯一在空間中安放其心智",000,空間/地球,坤(地),011,呼吸/風,巽(風),00,U,空間(太陰),00,U,空間(太陰),00,U,空間(太陰),"諧波60
韻律的母體矩陣，自我調整均衡的宇宙之火",,,,,,
21,火雷噬嗑,1,0,0,1,0,1,100101,喚起視野,"藍天綠野，心智照亮萬物
從眼睛中心映照出初升的旭日
將內在之眼轉換成靈性天賜的食糧",100,能量/雷,震(雷),101,視野/太陽,離(火),10,G,心智(少陽),01,C,放射光熱(少陰),10,G,心智(少陽),"諧波53
自我存在的作用，構建形式的自由意志",,,,,,
22,山火賁,1,0,1,0,0,1,101001,視野之聖殿,"冥想擴展其金色萌芽
火中的美麗海洋
在山中感受火之洞穴",101,視野/太陽,離(火),001,聖殿/靜心冥想,艮(山),10,G,心智(少陽),10,G,心智(少陽),10,G,心智(少陽),"諧波45
光譜的母體矩陣，自我調整解脫的宇宙之火",,,,,,
23,山地剝,0,0,0,0,0,1,000001,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",000,空間/地球,坤(地),001,聖殿/靜心冥想,艮(山),00,U,空間(太陰),00,U,空間(太陰),00,U,空間(太陰),"諧波64
太陽的輸出，表現意圖的智能",,,,,,
24,地雷復,1,0,0,0,0,0,100000,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",100,能量/雷,震(雷),000,空間/地球,坤(地),10,G,心智(少陽),00,U,空間(太陰),10,G,心智(少陽),"諧波63
超頻的作用，構建光芒四射的自由意志",,,,,,
25,天雷無妄,1,0,0,1,1,1,100111,共時性,"內外融合，展現所有時間的橋
集體心智喚醒紫色之光
太陽之子活化網格",100,能量/雷,震(雷),111,時間/天堂,乾(天),10,G,心智(少陽),01,C,放射光熱(少陰),10,G,心智(少陽),"諧波49
磁性的輸出，表現目的的智能",,,,,,
26,山天大畜,1,1,1,0,0,1,111001,時間之聖殿,"磨亮石頭，直至寂靜中有了聲響
閃耀著！閃耀著！還是抓不住
在大海深處，是時間的度量",111,時間/天堂,乾(天),001,聖殿/靜心冥想,艮(山),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波12
太陽的儲存，記得意圖的優雅",,,,,,
27,山雷頤,1,0,0,0,0,1,100001,存在之聖殿,"旋轉之光穿透地球廣闊維度
從空間內部點燃彩虹橋
自我生成光之聖殿",100,能量/雷,震(雷),001,聖殿/靜心冥想,艮(山),10,G,心智(少陽),00,U,空間(太陰),10,G,心智(少陽),"諧波61
行星的輸入，賦予顯化的盛開",,,,,,
28,澤風大過,0,1,1,1,1,0,011110,爆發的時間,"日月在時間的輻射光芒中合一
13月亮同步了空間與時間
日月的覺知是心智的本質",011,呼吸/風,巽(風),110,喜悅/海洋,兌(澤),01,C,放射光熱(少陰),11,A,時間(太陽),01,C,放射光熱(少陰),"諧波5 
共鳴的母體矩陣，自我調整協調的宇宙之火",,,,,,
29,坎為水,0,1,0,0,1,0,010010,心水晶/月水晶,"用光的幻象填滿月亮
太陽未出現時，出現空間的幻覺
不在心智陰影中尋求認同",010,心/月亮,坎(水),010,心/月亮,坎(水),01,C,放射光熱(少陰),00,U,空間(太陰),01,C,放射光熱(少陰),"諧波29
水晶的輸出，表現合作的智能",,,,,,
30,離為火,1,0,1,1,0,1,101101,視野水晶/太陽水晶,"想像到達超越視野所及之處
藉由水晶尋找時間的空間
透過地球之眼觀望並等待",101,視野/太陽,離(火),101,視野/太陽,離(火),10,G,心智(少陽),11,A,時間(太陽),10,G,心智(少陽),"諧波37 
超頻的儲存，記得光芒四射的優雅",,,,,,
31,澤山咸,0,0,1,1,1,0,001110,心智吸引力,"磁性的媒介，吸引太陽
知道影響時間的力量
集中注意力，無須思考",001,聖殿/靜心冥想,艮(山),110,喜悅/海洋,兌(澤),00,U,空間(太陰),11,A,時間(太陽),00,U,空間(太陰),"諧波38
太陽的作用，構建意圖的自由意志",,,,,,
32,雷風恆,0,1,1,1,0,0,011100,心智安忍,"在時間之流中臣服你的心智
專注的聖杯裝滿太陽之光
將你的心智固定在不變之源上",011,呼吸/風,巽(風),100,能量/雷,震(雷),01,C,放射光熱(少陰),11,A,時間(太陽),01,C,放射光熱(少陰),"諧波9
行星的輸出，表現顯化的智能",,,,,,
33,天山遯,0,0,1,1,1,1,001111,奉獻,"在高山之上，老鷹消失在月中
空間的力量是它對時間的吸收
聆聽空間的原始聲音",001,聖殿/靜心冥想,艮(山),111,時間/天堂,乾(天),00,U,空間(太陰),11,A,時間(太陽),00,U,空間(太陰),"諧波36
磁性的輸入，賦予目的的盛開",,,,,,
34,雷天大壯,1,1,1,1,0,0,111100,祈禱,"沒有阻礙的思想流動，隨著風知道而旅行
呼氣：保持你內在之光
吸氣：心智穿透時間",111,時間/天堂,乾(天),100,能量/雷,震(雷),11,A,時間(太陽),11,A,時間(太陽),11,A,時間(太陽),"諧波6 
光譜的輸入，賦予解脫的盛開",,,,,,
35,火地晉,0,0,0,1,0,1,000101,心智擴展,"新太陽誕生，過去消逝
引領你的注意力來到心智之源
來自太陽的閃光帶來瞬然的清晰",000,空間/地球,坤(地),101,視野/太陽,離(火),00,U,空間(太陰),01,C,放射光熱(少陰),00,U,空間(太陰),"諧波56
電力的輸入，賦予服務的盛開",,,,,,
36,地火明夷,1,0,1,0,0,0,101000,內在的光熱,"簡單性揭示主題
光熱充滿內在空間
掩蓋你的光，它會增加你的光彩",101,視野/太陽,離(火),000,空間/地球,坤(地),10,G,心智(少陽),10,G,心智(少陽),10,G,心智(少陽),"諧波47
韻律的儲存，記得均衡的優雅",,,,,,
37,風火家人,1,0,1,0,1,1,101011,家的力量,"獨處的時間將決定誰去誰回
勿讓火源處於無人看管狀態
家，內在之火",101,視野/太陽,離(火),011,呼吸/風,巽(風),10,G,心智(少陽),10,G,心智(少陽),10,G,心智(少陽),"諧波41
銀河星系的輸入，賦予完整的盛開",,,,,,
38,火澤睽,1,1,0,1,0,1,110101,辨別,"在日月間，差異清晰可見
與孤寂共處，讓內在之光指引方向
當疑惑升起時，安住你的心智",110,喜悅/海洋,兌(澤),101,視野/太陽,離(火),11,A,時間(太陽),01,C,放射光熱(少陰),11,A,時間(太陽),"諧波20
月亮的母體矩陣，自我調整挑戰的宇宙之火",,,,,,
39,水山蹇,0,0,1,0,1,0,001010,心的自律,"水晶保存了旅程更新的全息影像
在海洋深處看見山
在上升途中鼓舞了心",001,聖殿/靜心冥想,艮(山),010,心/月亮,坎(水),00,U,空間(太陰),10,G,心智(少陽),00,U,空間(太陰),"諧波46
月亮的輸入，賦予挑戰的盛開",,,,,,
40,雷水解,0,1,0,1,0,0,010100,心的釋放,"閃電劃過心智，宇宙之夢覺醒
心照亮了，心智擴展了！
新的月亮進入太陽之道",010,心/月亮,坎(水),100,能量/雷,震(雷),01,C,放射光熱(少陰),01,C,放射光熱(少陰),01,C,放射光熱(少陰),"諧波25
太陽的母體矩陣，自我調整意圖的宇宙之火",,,,,,
41,山澤損,1,1,0,0,0,1,110001,喜悅之聖殿,"一首古老歌謠穿透寂靜
藉由靈魂之眼的藍，聆聽內在光芒
月亮倒映在海上",110,喜悅/海洋,兌(澤),001,聖殿/靜心冥想,艮(山),11,A,時間(太陽),00,U,空間(太陰),11,A,時間(太陽),"諧波28
銀河星系的作用，構建完整的自由意志",,,,,,
42,風雷益,1,0,0,0,1,1,100011,無線傳聲之道,"彩虹出現在時間的起源中
時間與空間在單一思維結構中共時
建造聖殿，設計夢想",100,能量/雷,震(雷),011,呼吸/風,巽(風),10,G,心智(少陽),00,U,空間(太陰),10,G,心智(少陽),"諧波57
共鳴的儲存，記得協調的優雅",,,,,,
43,澤山夬,1,1,1,1,1,0,111110,不屈不撓,"沉默，直到光找到了它自己的聲音
防備妄想的盜賊
現在開口還太早了",111,時間/天堂,乾(天),110,喜悅/海洋,兌(澤),11,A,時間(太陽),11,A,時間(太陽),11,A,時間(太陽),"諧波2 
銀河星系的儲存，記得完整的優雅",,,,,,
44,天風姤,0,1,1,1,1,1,011111,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環",011,呼吸/風,巽(風),111,時間/天堂,乾(天),01,C,放射光熱(少陰),11,A,時間(太陽),01,C,放射光熱(少陰),"諧波3 
水晶的作用，構建合作的自由意志",,,,,,
45,澤地萃,0,0,0,1,1,0,000110,當下的海洋,"人們歡聚一堂為了提供服務
銀河指令降臨
在那無邊際空間的聖殿中",000,空間/地球,坤(地),110,喜悅/海洋,兌(澤),00,U,空間(太陰),01,C,放射光熱(少陰),00,U,空間(太陰),"諧波54
銀河星系的輸出，表現完整的智能",,,,,,
46,地風升,0,1,1,0,0,0,011000,璀璨虛空,"清晰無礙中，你看到了什麼？
在時間心智中，循環光芒
在光體中，循環呼吸",011,呼吸/風,巽(風),000,空間/地球,坤(地),01,C,放射光熱(少陰),10,G,心智(少陽),01,C,放射光熱(少陰),"諧波17
電力的儲存，記得服務的優雅",,,,,,
47,澤水困,0,1,0,1,1,0,010110,召喚源頭,"聆聽空間海洋的回聲
記得未來是不可預期的
堅持在未見的路途上",010,心/月亮,坎(水),110,喜悅/海洋,兌(澤),01,C,放射光熱(少陰),01,C,放射光熱(少陰),01,C,放射光熱(少陰),"諧波21
韻律的輸入，賦予均衡的盛開",,,,,,
48,水風井,0,1,1,0,1,0,011010,抵達源頭,"定位心智的本源
尋找著中心，創造藍圖
一次呼吸，就涵蓋整個宇宙的時間",011,呼吸/風,巽(風),010,心/月亮,坎(水),01,C,放射光熱(少陰),10,G,心智(少陽),01,C,放射光熱(少陰),"諧波13
宇宙的作用，構建當下的自由意志",,,,,,
49,澤火革,1,0,1,1,1,0,101110,時間之革命,"意識是一種內在革命
所有時間都被七的力量所更新
當永恆改變，眾人也隨之改變",101,視野/太陽,離(火),110,喜悅/海洋,兌(澤),10,G,心智(少陽),11,A,時間(太陽),10,G,心智(少陽),"諧波35
行星的母體矩陣，自我調整顯化的宇宙之火",,,,,,
50,火風鼎,0,1,1,1,0,1,011101,時間之轉化,"時間與視野是心智的守護者
心智喚醒了時間的本質
銀河星系的能量活化呼吸",011,呼吸/風,巽(風),101,視野/太陽,離(火),01,C,放射光熱(少陰),11,A,時間(太陽),01,C,放射光熱(少陰),"諧波7
月亮的儲存，記得挑戰的優雅",,,,,,
51,震為雷,1,0,0,1,0,0,100100,雷/喚醒存在,"不須費力地三摩地轉錄心電感應的歌詞
藉由超精神的力量，喚醒內在身體
宇宙呼吸的能量，喚醒昆達里尼",100,能量/雷,震(雷),100,能量/雷,震(雷),10,G,心智(少陽),01,C,放射光熱(少陰),10,G,心智(少陽),"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火",,,,,,
52,艮為山,0,0,1,0,0,1,001001,靜心冥想/聖殿,"夢想與現實是同一種真理
空間建立，光出現
沒有空間，則無光",001,聖殿/靜心冥想,艮(山),001,聖殿/靜心冥想,艮(山),00,U,空間(太陰),10,G,心智(少陽),00,U,空間(太陰),"諧波48
行星的作用，構建顯化的自由意志",,,,,,
53,風山漸,0,0,1,0,1,1,001011,進化,"建立聖殿，知曉內在
觸摸風，感覺太陽
爬上山，看見樹",001,聖殿/靜心冥想,艮(山),011,呼吸/風,巽(風),00,U,空間(太陰),10,G,心智(少陽),00,U,空間(太陰),"諧波44
共鳴的輸出，表現協調的智能",,,,,,
54,雷澤歸妹,1,1,0,1,0,0,110100,超越,"一波又一波，宇宙旋律上揚
海浪上的閃電
看穿時間，深入意識深處",110,喜悅/海洋,兌(澤),100,能量/雷,震(雷),11,A,時間(太陽),01,C,放射光熱(少陰),11,A,時間(太陽),"諧波22
行星的儲存，記得顯化的優雅",,,,,,
55,雷火豐,1,0,1,1,0,0,101100,喚醒智慧,"空間與空間之間的融合，騎乘著宇宙脈動
在午夜的太陽中看見北極星
在山中冥想，喚起內在之光",101,視野/太陽,離(火),100,能量/雷,震(雷),10,G,心智(少陽),11,A,時間(太陽),10,G,心智(少陽),"諧波39
宇宙的輸出，表現存在的智能",,,,,,
56,火山旅,0,0,1,1,0,1,001101,遠航,"它說：回到心智，然後重新開始
看見來自遙遠恆星的光
在更高的心智迴路上旅行",001,聖殿/靜心冥想,艮(山),101,視野/太陽,離(火),00,U,空間(太陰),11,A,時間(太陽),00,U,空間(太陰),"諧波40
自我存在的母體矩陣，自我調整形式的宇宙之火",,,,,,
57,巽為風,0,1,1,0,1,1,011011,呼吸的心智,"月亮是繆斯，靈感是太陽
宮位的主題，因歌曲而升起
當心智成為呼吸，呼吸就成為了心智",011,呼吸/風,巽(風),011,呼吸/風,巽(風),01,C,放射光熱(少陰),10,G,心智(少陽),01,C,放射光熱(少陰),"諧波11
超頻的輸入，賦予光芒四射的盛開",,,,,,
58,兌為澤,1,1,0,1,1,0,110110,喜悅之光熱,"智慧之火清唱古老歌謠
聆聽銀河星系心智中的空間
順著光流穿越時間之海",110,喜悅/海洋,兌(澤),110,喜悅/海洋,兌(澤),11,A,時間(太陽),01,C,放射光熱(少陰),11,A,時間(太陽),"諧波18
共鳴的作用，構建協調的自由意志",,,,,,
59,風水渙,0,1,0,0,1,1,010011,溶解,"吹響銀河星系八度音階，心智不復存在
直接前往銀河中心
注視著星星的靈魂",010,心/月亮,坎(水),011,呼吸/風,巽(風),01,C,放射光熱(少陰),00,U,空間(太陰),01,C,放射光熱(少陰),"諧波27
自我存在的儲存，記得形式的優雅",,,,,,
60,水澤節,1,1,0,0,1,0,110010,測量權衡,"意義只是空間的輻射光芒中的一個韻律
心是尺度，無窮於它的悖論
測量月亮，並找到心智的極限",110,喜悅/海洋,兌(澤),010,心/月亮,坎(水),11,A,時間(太陽),00,U,空間(太陰),11,A,時間(太陽),"諧波26
宇宙的輸入，賦予存在的盛開",,,,,,
61,風澤中孚,1,1,0,0,1,1,110011,內在空間,"時間透由宇宙呼吸封印空間—神性揭示
在一段漫長時間中，大自然變得完美
時間在意識海洋中出現",110,喜悅/海洋,兌(澤),011,呼吸/風,巽(風),11,A,時間(太陽),00,U,空間(太陰),11,A,時間(太陽),"諧波24
超頻的輸出，表現光芒四射的智能",,,,,,
62,雷山小過,0,0,1,1,0,0,001100,內在時間,"空間的共時性，用心電感應填滿時間
鳥兒展翅遨遊在山月間
精神被星光所接收",001,聖殿/靜心冥想,艮(山),100,能量/雷,震(雷),00,U,空間(太陰),11,A,時間(太陽),00,U,空間(太陰),"諧波42
水晶的儲存，記得合作的優雅",,,,,,
63,水火既濟,1,0,1,0,1,0,101010,貫徹,"在太陽光中改變空間，無懼後退
記憶是永恆太陽的起源
對天體運行印象深刻",101,視野/太陽,離(火),010,心/月亮,坎(水),10,G,心智(少陽),10,G,心智(少陽),10,G,心智(少陽),"諧波43
電力的作用，構建服務的自由意志",,,,,,
64,火水未濟,0,1,0,1,0,1,010101,醞釀,"向眾星之王臣服心智
全然照亮！在無盡變化中自發性的統一
注視著內在之光",010,心/月亮,坎(水),101,視野/太陽,離(火),01,C,放射光熱(少陰),01,C,放射光熱(少陰),01,C,放射光熱(少陰),"諧波23
磁性的作用，構建目的的自由意志",,,,,,
